house_age,dist_to_mrt,num_convenience_stores,area_m2,floors,price_million_vnd
13.7,1301.0,6,109.2,4,3931.2
33.3,753.9,4,191.0,4,5963.8
25.9,541.6,2,107.2,3,3121.9
21.4,1994.6,2,142.2,2,4316.8
6.3,194.3,3,103.6,1,3502.0
6.3,642.8,1,83.9,2,3213.9
3.0,109.1,1,197.4,2,6574.0
30.4,605.9,0,105.5,3,3888.1
21.4,146.4,4,183.1,2,5844.4
25.1,201.2,3,76.8,5,2995.9
1.7,200.0,10,74.1,3,3504.5
34.0,938.1,9,45.0,4,1916.4
29.3,1196.5,1,144.3,1,4133.2
8.2,800.4,2,99.0,4,3504.3
7.2,2719.8,6,178.3,4,5883.8
7.2,475.8,6,115.7,2,4501.6
11.3,369.2,3,194.9,3,5937.2
18.8,1723.6,4,69.7,3,2794.3
15.7,302.5,4,179.0,2,6021.6
10.9,2742.3,5,164.3,3,5170.8
21.8,109.8,8,163.3,2,4774.0
5.7,2902.0,1,175.2,1,4952.8
10.9,135.3,4,161.8,2,5639.5
13.5,1874.2,2,140.2,1,4181.9
16.5,700.1,3,61.0,1,1837.0
27.7,4065.5,9,45.2,1,1288.0
7.8,161.3,5,187.3,5,6671.2
18.5,745.7,7,138.7,3,4863.5
21.1,2886.9,0,167.4,5,4944.6
2.6,692.4,9,117.0,2,4305.0
21.7,894.1,7,58.8,2,2178.7
6.8,1051.9,10,60.0,3,2604.0
3.2,584.9,6,149.7,2,5595.6
33.3,890.1,0,108.8,1,2862.0
33.8,802.3,1,72.1,3,2543.9
28.5,1951.4,2,118.7,2,3841.4
11.4,137.2,0,50.3,3,2296.3
4.3,363.9,8,133.1,3,4794.9
24.3,2503.2,7,83.0,2,2841.0
16.0,1867.7,1,167.6,1,4844.8
5.1,586.5,8,89.7,3,3404.3
17.8,874.3,6,112.8,2,3904.2
2.2,359.9,8,41.9,1,1849.7
31.9,266.7,5,51.6,5,2520.6
9.8,598.4,5,102.8,1,3410.1
23.5,448.8,10,116.8,3,4279.1
